Period start,Period end,Trading period,Region ID,Region,Demand (GWh)
1/4/18,30/04/2018,N/A,CNI,Central North Island,709.359
1/4/18,30/04/2018,N/A,LNI,Lower North Island,436.618
1/4/18,30/04/2018,N/A,USI,Upper South Island,469.541
1/4/18,30/04/2018,N/A,LSI,Lower South Island,737.563
1/5/18,31/05/2018,N/A,UNI,Upper North Island,1026.932
1/5/18,31/05/2018,N/A,CNI,Central North Island,769.568
1/5/18,31/05/2018,N/A,LNI,Lower North Island,497.666
1/5/18,31/05/2018,N/A,USI,Upper South Island,520.805
1/5/18,31/05/2018,N/A,LSI,Lower South Island,786.151
1/6/18,30/06/2018,N/A,UNI,Upper North Island,1102.609
1/6/18,30/06/2018,N/A,CNI,Central North Island,772.025
1/6/18,30/06/2018,N/A,LNI,Lower North Island,529.81
1/6/18,30/06/2018,N/A,USI,Upper South Island,546.637
1/6/18,30/06/2018,N/A,LSI,Lower South Island,764.049
1/7/18,31/07/2018,N/A,UNI,Upper North Island,1153.752
1/7/18,31/07/2018,N/A,CNI,Central North Island,805.465
1/7/18,31/07/2018,N/A,LNI,Lower North Island,543.194
1/7/18,31/07/2018,N/A,USI,Upper South Island,556.258
1/7/18,31/07/2018,N/A,LSI,Lower South Island,774.369
1/8/18,31/08/2018,N/A,UNI,Upper North Island,1126.574
1/8/18,31/08/2018,N/A,CNI,Central North Island,802.842
1/8/18,31/08/2018,N/A,LNI,Lower North Island,528.796
1/8/18,31/08/2018,N/A,USI,Upper South Island,544.507
1/8/18,31/08/2018,N/A,LSI,Lower South Island,788.284
1/9/18,30/09/2018,N/A,UNI,Upper North Island,1017.978
1/9/18,30/09/2018,N/A,CNI,Central North Island,742.305
1/9/18,30/09/2018,N/A,LNI,Lower North Island,494.449
1/9/18,30/09/2018,N/A,USI,Upper South Island,498.91
1/9/18,30/09/2018,N/A,LSI,Lower South Island,755.488
1/10/18,31/10/2018,N/A,UNI,Upper North Island,981.583
1/10/18,31/10/2018,N/A,CNI,Central North Island,709.57
1/10/18,31/10/2018,N/A,LNI,Lower North Island,467.386
1/10/18,31/10/2018,N/A,USI,Upper South Island,513.696
1/10/18,31/10/2018,N/A,LSI,Lower South Island,792.686
1/11/18,30/11/2018,N/A,UNI,Upper North Island,944.936
1/11/18,30/11/2018,N/A,CNI,Central North Island,673.048
